ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_indicator.label,note_source.label,school_status,Series Name,Series Code,Country Name,Country Code,Time,Time Code,Value
Angola,LFS - Employment Survey,"Children in hazardous work attending school by sex, age and rural / urban areas (thousands)",Male,Age: 15-17,Area type: Rural,2019,20.361,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing,Attending,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Angola,AGO,2019.0,YR2019,
Angola,LFS - Employment Survey,"Children in hazardous work attending school by sex, age and rural / urban areas (thousands)",Male,Age: 15-17,Area type: Urban,2019,12.841,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing,Attending,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Angola,AGO,2019.0,YR2019,
Angola,LFS - Employment Survey,"Children in hazardous work attending school by sex, age and rural / urban areas (thousands)",Female,Age: 15-17,Area type: Rural,2019,8.007,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing,Attending,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Angola,AGO,2019.0,YR2019,
Angola,LFS - Employment Survey,"Children in hazardous work attending school by sex, age and rural / urban areas (thousands)",Female,Age: 15-17,Area type: Urban,2019,5.414,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing,Attending,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Angola,AGO,2019.0,YR2019,
Armenia,LFS - Household Labour Force Survey,"Children in hazardous work attending school by sex, age and rural / urban areas (thousands)",Male,Age: 15-17,Area type: Rural,2020,,Unreliable,,Repository: ILO-STATISTICS - Micro data processing,Attending,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Armenia,ARM,2020.0,YR2020,27.0
Armenia,LFS - Household Labour Force Survey,"Children in hazardous work attending school by sex, age and rural / urban areas (thousands)",Male,Age: 15-17,Area type: Urban,2020,,Unreliable,,Repository: ILO-STATISTICS - Micro data processing,Attending,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Armenia,ARM,2020.0,YR2020,27.0
Armenia,LFS - Household Labour Force Survey,"Children in hazardous work attending school by sex, age and rural / urban areas (thousands)",Female,Age: 15-17,Area type: Rural,2020,,Unreliable,,Repository: ILO-STATISTICS - Micro data processing,Attending,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Armenia,ARM,2020.0,YR2020,27.0
Armenia,LFS - Household Labour Force Survey,"Children in hazardous work attending school by sex, age and rural / urban areas (thousands)",Female,Age: 15-17,Area type: Urban,2020,,Unreliable,,Repository: ILO-STATISTICS - Micro data processing,Attending,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Armenia,ARM,2020.0,YR2020,27.0
Armenia,CLS - National Child Labour Survey,"Children in hazardous work attending school by sex, age and rural / urban areas (thousands)",Male,Age: 15-17,Area type: Rural,2015,9.981,,,Repository: ILO-STATISTICS - Micro data processing,Attending,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Armenia,ARM,2015.0,YR2015,
Armenia,CLS - National Child Labour Survey,"Children in hazardous work attending school by sex, age and rural / urban areas (thousands)",Male,Age: 15-17,Area type: Urban,2015,1.655,,,Repository: ILO-STATISTICS - Micro data processing,Attending,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Armenia,ARM,2015.0,YR2015,
Armenia,CLS - National Child Labour Survey,"Children in hazardous work attending school by sex, age and rural / urban areas (thousands)",Female,Age: 15-17,Area type: Rural,2015,6.034,,,Repository: ILO-STATISTICS - Micro data processing,Attending,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Armenia,ARM,2015.0,YR2015,
Armenia,CLS - National Child Labour Survey,"Children in hazardous work attending school by sex, age and rural / urban areas (thousands)",Female,Age: 15-17,Area type: Urban,2015,0.32,Unreliable,,Repository: ILO-STATISTICS - Micro data processing,Attending,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Armenia,ARM,2015.0,YR2015,
Austria,LFS - Labour Force Survey,"Children in hazardous work attending school by sex, age and rural / urban areas (thousands)",Male,Age: 15-17,Area type: Rural,2024,9.894,,,Repository: ILO-STATISTICS - Micro data processing,Attending,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Austria,AUT,2024.0,YR2024,
Austria,LFS - Labour Force Survey,"Children in hazardous work attending school by sex, age and rural / urban areas (thousands)",Male,Age: 15-17,Area type: Urban,2024,10.58,,,Repository: ILO-STATISTICS - Micro data processing,Attending,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Austria,AUT,2024.0,YR2024,
Austria,LFS - Labour Force Survey,"Children in hazardous work attending school by sex, age and rural / urban areas (thousands)",Female,Age: 15-17,Area type: Rural,2024,1.96,,,Repository: ILO-STATISTICS - Micro data processing,Attending,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Austria,AUT,2024.0,YR2024,
Austria,LFS - Labour Force Survey,"Children in hazardous work attending school by sex, age and rural / urban areas (thousands)",Female,Age: 15-17,Area type: Urban,2024,2.083,,,Repository: ILO-STATISTICS - Micro data processing,Attending,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Austria,AUT,2024.0,YR2024,
Austria,LFS - Labour Force Survey,"Children in hazardous work attending school by sex, age and rural / urban areas (thousands)",Male,Age: 15-17,Area type: Rural,2023,11.356,,,Repository: ILO-STATISTICS - Micro data processing,Attending,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Austria,AUT,2023.0,YR2023,
Austria,LFS - Labour Force Survey,"Children in hazardous work attending school by sex, age and rural / urban areas (thousands)",Male,Age: 15-17,Area type: Urban,2023,10.87,,,Repository: ILO-STATISTICS - Micro data processing,Attending,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Austria,AUT,2023.0,YR2023,
Austria,LFS - Labour Force Survey,"Children in hazardous work attending school by sex, age and rural / urban areas (thousands)",Female,Age: 15-17,Area type: Rural,2023,2.299,,,Repository: ILO-STATISTICS - Micro data processing,Attending,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Austria,AUT,2023.0,YR2023,
Austria,LFS - Labour Force Survey,"Children in hazardous work attending school by sex, age and rural / urban areas (thousands)",Female,Age: 15-17,Area type: Urban,2023,2.214,,,Repository: ILO-STATISTICS - Micro data processing,Attending,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Austria,AUT,2023.0,YR2023,
Austria,LFS - Labour Force Survey,"Children in hazardous work attending school by sex, age and rural / urban areas (thousands)",Male,Age: 15-17,Area type: Rural,2022,12.185,,,Repository: ILO-STATISTICS - Micro data processing,Attending,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Austria,AUT,2022.0,YR2022,
Austria,LFS - Labour Force Survey,"Children in hazardous work attending school by sex, age and rural / urban areas (thousands)",Male,Age: 15-17,Area type: Urban,2022,11.664,,,Repository: ILO-STATISTICS - Micro data processing,Attending,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Austria,AUT,2022.0,YR2022,
Austria,LFS - Labour Force Survey,"Children in hazardous work attending school by sex, age and rural / urban areas (thousands)",Female,Age: 15-17,Area type: Rural,2022,1.523,,,Repository: ILO-STATISTICS - Micro data processing,Attending,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Austria,AUT,2022.0,YR2022,
Austria,LFS - Labour Force Survey,"Children in hazardous work attending school by sex, age and rural / urban areas (thousands)",Female,Age: 15-17,Area type: Urban,2022,1.319,,,Repository: ILO-STATISTICS - Micro data processing,Attending,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Austria,AUT,2022.0,YR2022,
Austria,LFS - Labour Force Survey,"Children in hazardous work attending school by sex, age and rural / urban areas (thousands)",Male,Age: 15-17,Area type: Rural,2021,13.739,,,Repository: ILO-STATISTICS - Micro data processing,Attending,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Austria,AUT,2021.0,YR2021,14.8
Austria,LFS - Labour Force Survey,"Children in hazardous work attending school by sex, age and rural / urban areas (thousands)",Male,Age: 15-17,Area type: Urban,2021,8.374,,,Repository: ILO-STATISTICS - Micro data processing,Attending,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Austria,AUT,2021.0,YR2021,14.8
Austria,LFS - Labour Force Survey,"Children in hazardous work attending school by sex, age and rural / urban areas (thousands)",Female,Age: 15-17,Area type: Rural,2021,1.325,,,Repository: ILO-STATISTICS - Micro data processing,Attending,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Austria,AUT,2021.0,YR2021,14.8
Austria,LFS - Labour Force Survey,"Children in hazardous work attending school by sex, age and rural / urban areas (thousands)",Female,Age: 15-17,Area type: Urban,2021,1.806,,,Repository: ILO-STATISTICS - Micro data processing,Attending,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Austria,AUT,2021.0,YR2021,14.8
Austria,LFS - Labour Force Survey,"Children in hazardous work attending school by sex, age and rural / urban areas (thousands)",Male,Age: 15-17,Area type: Rural,2020,12.653,,,Repository: ILO-STATISTICS - Micro data processing,Attending,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Austria,AUT,2020.0,YR2020,14.7
